revol_bal,home_ownership,verification_status,emp_length,dti,annual_inc,output
10768,MORTGAGE,Not Verified,10,24.31,66000.0,Non-Defaulters
35551,MORTGAGE,Verified,2,1.7,110000.0,Non-Defaulters
40836,MORTGAGE,Not Verified,6,19.86,98005.0,Non-Defaulters
25237,RENT,Not Verified,10,20.01,55000.0,Non-Defaulters
17469,RENT,Source Verified,10,16.76,71500.0,Non-Defaulters
7992,MORTGAGE,Source Verified,10,18.22,93000.0,Non-Defaulters
20720,MORTGAGE,Verified,10,20.73,40000.0,Non-Defaulters
7953,MORTGAGE,Source Verified,10,29.38,23000.0,Non-Defaulters
17212,RENT,Verified,3,25.2,48000.0,Defaulters
7839,RENT,Verified,3,14.29,54250.0,Non-Defaulters
15567,OWN,Verified,,17.14,33600.0,Non-Defaulters
6932,MORTGAGE,Verified,5,19.14,40000.0,Defaulters
19972,RENT,Verified,2,15.29,42000.0,Non-Defaulters
8931,MORTGAGE,Not Verified,10,11.85,90000.0,Non-Defaulters
2486,MORTGAGE,Not Verified,1,17.13,55000.0,Non-Defaulters
7387,RENT,Verified,2,13.22,50000.0,Non-Defaulters
24643,RENT,Verified,,13.88,72000.0,Defaulters
2302,RENT,Source Verified,10,0.68,130000.0,Non-Defaulters
239620,MORTGAGE,Source Verified,10,30.93,142000.0,Non-Defaulters
3727,MORTGAGE,Not Verified,10,5.88,37169.0,Non-Defaulters
4676,MORTGAGE,Source Verified,10,3.63,95000.0,Non-Defaulters
1637,RENT,Source Verified,3,1.44,40000.0,Non-Defaulters
5566,RENT,Not Verified,6,17.05,43500.0,Non-Defaulters
5498,MORTGAGE,Not Verified,1,7.99,105000.0,Non-Defaulters
6905,MORTGAGE,Verified,10,11.07,72280.0,Defaulters
2577,RENT,Not Verified,5,5.47,25000.0,Non-Defaulters
16190,MORTGAGE,Not Verified,7,27.62,52000.0,Non-Defaulters
8299,RENT,Source Verified,6,2.45,80000.0,Non-Defaulters
7178,OWN,Not Verified,1,18.12,30000.0,Non-Defaulters
8364,MORTGAGE,Source Verified,10,6.03,81000.0,Non-Defaulters
21079,MORTGAGE,Not Verified,10,14.01,110000.0,Non-Defaulters
1469,RENT,Not Verified,6,14.66,65000.0,Non-Defaulters
6897,MORTGAGE,Not Verified,3,21.14,60000.0,Non-Defaulters
11583,MORTGAGE,Verified,9,14.58,60500.0,Defaulters
20786,RENT,Verified,,27.09,33000.0,Defaulters
38631,MORTGAGE,Not Verified,5,10.85,100000.0,Non-Defaulters
5362,MORTGAGE,Not Verified,10,21.64,60000.0,Non-Defaulters
13107,MORTGAGE,Not Verified,10,16.81,55400.0,Non-Defaulters
3902,RENT,Verified,1,22.66,35000.0,Defaulters
14234,MORTGAGE,Not Verified,10,11.06,42000.0,Non-Defaulters
2829,RENT,Verified,3,4.17,38000.0,Non-Defaulters
487,RENT,Source Verified,1,8.3,35000.0,Non-Defaulters
10427,MORTGAGE,Not Verified,6,14.69,101800.0,Non-Defaulters
10142,RENT,Not Verified,5,4.64,90000.0,Non-Defaulters
18595,RENT,Source Verified,5,26.6,50000.0,Non-Defaulters
7679,MORTGAGE,Not Verified,7,4.49,80000.0,Non-Defaulters
2745,RENT,Not Verified,7,5.69,35000.0,Non-Defaulters
19134,MORTGAGE,Not Verified,5,7.2,70000.0,Non-Defaulters
5647,RENT,Source Verified,4,6.54,65000.0,Non-Defaulters
18914,MORTGAGE,Not Verified,1,21.15,56625.0,Non-Defaulters
7423,RENT,Not Verified,3,11.06,65000.0,Non-Defaulters
8692,RENT,Not Verified,7,16.43,45000.0,Non-Defaulters
12433,RENT,Verified,10,34.4,45000.0,Non-Defaulters
16115,MORTGAGE,Verified,5,17.75,80000.0,Non-Defaulters
23284,OWN,Verified,10,15.26,52600.0,Non-Defaulters
7273,MORTGAGE,Source Verified,6,12.94,50000.0,Non-Defaulters
5048,RENT,Source Verified,3,15.51,52000.0,Non-Defaulters
11405,MORTGAGE,Not Verified,7,15.96,67000.0,Non-Defaulters
8031,MORTGAGE,Not Verified,7,20.46,65000.0,Non-Defaulters
13367,RENT,Not Verified,6,13.39,31000.0,Non-Defaulters
4613,MORTGAGE,Verified,1,15.46,140000.0,Defaulters
23499,MORTGAGE,Verified,1,10.73,150000.0,Non-Defaulters
12010,MORTGAGE,Verified,3,24.12,60000.0,Defaulters
30691,RENT,Verified,5,16.32,80000.0,Non-Defaulters
13777,RENT,Source Verified,5,26.16,42000.0,Defaulters
16436,RENT,Verified,7,27.67,50000.0,Non-Defaulters
4006,OWN,Not Verified,9,23.66,42500.0,Non-Defaulters
152,RENT,Verified,10,18.89,70000.0,Non-Defaulters
2807,OWN,Source Verified,1,7.7,24480.0,Non-Defaulters
18415,MORTGAGE,Not Verified,7,24.33,84000.0,Non-Defaulters
468,MORTGAGE,Source Verified,1,6.38,70000.0,Non-Defaulters
7521,RENT,Source Verified,2,24.24,25000.0,Non-Defaulters
268,MORTGAGE,Source Verified,6,2.93,72000.0,Non-Defaulters
38976,MORTGAGE,Verified,7,23.77,90000.0,Defaulters
4556,MORTGAGE,Not Verified,9,27.64,30000.0,Non-Defaulters
20543,RENT,Not Verified,10,23.24,47631.0,Defaulters
2671,OWN,Not Verified,1,26.33,36000.0,Defaulters
35975,MORTGAGE,Not Verified,1,29.35,46200.0,Non-Defaulters
7504,MORTGAGE,Source Verified,4,18.73,74500.0,Non-Defaulters
30040,MORTGAGE,Verified,1,21.65,124000.0,Defaulters
35624,MORTGAGE,Source Verified,9,14.07,135287.0,Non-Defaulters
11378,RENT,Not Verified,6,26.13,45000.0,Non-Defaulters
188894,MORTGAGE,Verified,,22.62,134000.0,Non-Defaulters
3300,RENT,Source Verified,1,7.24,60000.0,Defaulters
14677,OWN,Verified,10,18.24,50000.0,Non-Defaulters
3703,RENT,Source Verified,4,24.46,21000.0,Defaulters
24588,MORTGAGE,Source Verified,10,19.07,66700.0,Defaulters
18231,RENT,Not Verified,5,17.4,210000.0,Non-Defaulters
631,MORTGAGE,Not Verified,1,0.72,67000.0,Non-Defaulters
8214,RENT,Not Verified,2,7.82,39600.0,Non-Defaulters
21785,MORTGAGE,Verified,10,31.81,55900.0,Non-Defaulters
4074,RENT,Source Verified,,11.53,18000.0,Non-Defaulters
34046,MORTGAGE,Verified,6,23.23,51600.0,Defaulters
524,MORTGAGE,Verified,10,17.26,75000.0,Non-Defaulters
6525,RENT,Source Verified,4,15.53,50000.0,Non-Defaulters
12225,MORTGAGE,Verified,8,10.09,100000.0,Non-Defaulters
12886,RENT,Source Verified,1,10.58,165000.0,Non-Defaulters
3253,MORTGAGE,Not Verified,3,24.15,48000.0,Non-Defaulters
9696,RENT,Verified,6,18.54,42000.0,Non-Defaulters
18560,MORTGAGE,Verified,10,7.42,250000.0,Non-Defaulters
15327,MORTGAGE,Verified,1,21.45,40000.0,Defaulters
26850,MORTGAGE,Not Verified,1,8.6,66000.0,Non-Defaulters
13054,RENT,Not Verified,10,9.28,72000.0,Non-Defaulters
38043,MORTGAGE,Verified,6,23.72,55640.0,Non-Defaulters
12718,RENT,Source Verified,10,11.88,110000.0,Defaulters
21151,MORTGAGE,Source Verified,3,18.79,50000.0,Non-Defaulters
17096,MORTGAGE,Not Verified,10,29.83,82171.0,Non-Defaulters
23014,MORTGAGE,Verified,6,9.95,157200.0,Non-Defaulters
5588,RENT,Not Verified,6,19.88,30720.0,Non-Defaulters
11359,RENT,Not Verified,10,19.34,26000.0,Non-Defaulters
7944,MORTGAGE,Not Verified,10,7.51,50000.0,Non-Defaulters
16231,MORTGAGE,Source Verified,1,25.66,64800.0,Defaulters
8268,RENT,Verified,5,24.92,69500.0,Non-Defaulters
10318,RENT,Verified,10,9.49,96000.0,Defaulters
5498,MORTGAGE,Not Verified,10,27.64,33000.0,Non-Defaulters
12939,MORTGAGE,Not Verified,5,18.41,56000.0,Non-Defaulters
22164,RENT,Not Verified,7,23.44,36356.0,Non-Defaulters
5212,RENT,Verified,1,2.96,100000.0,Defaulters
8656,MORTGAGE,Verified,5,10.99,95000.0,Non-Defaulters
29101,RENT,Verified,2,9.33,135000.0,Non-Defaulters
2020,RENT,Source Verified,1,8.3,35000.0,Non-Defaulters
4643,OWN,Source Verified,10,25.32,30000.0,Defaulters
6187,MORTGAGE,Not Verified,7,6.48,85000.0,Non-Defaulters
33869,RENT,Source Verified,9,10.71,114996.0,Defaulters
41202,RENT,Verified,7,26.22,116000.0,Non-Defaulters
1391,MORTGAGE,Verified,1,18.7,36000.0,Non-Defaulters
22410,MORTGAGE,Source Verified,7,10.43,71500.0,Non-Defaulters
14911,MORTGAGE,Not Verified,4,16.84,64000.0,Non-Defaulters
18356,RENT,Verified,,11.8,125000.0,Defaulters
10447,MORTGAGE,Source Verified,7,9.13,135000.0,Non-Defaulters
9713,MORTGAGE,Not Verified,4,12.14,95000.0,Defaulters
8079,RENT,Not Verified,4,20.22,80000.0,Defaulters
10481,RENT,Not Verified,10,13.78,27000.0,Non-Defaulters
24374,MORTGAGE,Verified,10,16.03,103000.0,Defaulters
5926,RENT,Not Verified,6,15.47,47000.0,Non-Defaulters
5412,RENT,Source Verified,6,13.03,50000.0,Defaulters
